estacion,parada,linea,ascensor,escaleras,accesible,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,tipoTransporte
COLONIA JARDIN,27,10,0,0, 1,est_4_202,202.0,COLONIA JARDIN,N/A,40.39698,-3.7746199999999996,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
AVIACION ESPAÑOLA,28,10,1,1, 1,est_4_257,257.0,AVIACION ESPAÑOLA,N/A,40.38364,-3.7839199999999997,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
CUATRO VIENTOS,29,10,1,1, 1,est_4_203,203.0,CUATRO VIENTOS,N/A,40.37771,-3.79152,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
JOAQUIN VILUMBRALES,30,10,1,1, 1,est_4_204,204.0,JOAQUIN VILUMBRALES,N/A,40.34985,-3.8072,B1,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
PUERTA DEL SUR,31,10,1,1, 1,est_4_205,205.0,PUERTA DEL SUR,N/A,40.345240000000004,-3.8121099999999997,B1,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
PLAZA ELIPTICA,1,11,1,1, 1,est_90_36,36.0,PLAZA ELIPTICA,Calle  Vía Lusitana 2,40.3846,-3.7184800000000005,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
ABRANTES,2,11,1,0, 1,est_4_207,207.0,ABRANTES,N/A,40.380829999999996,-3.7279,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
PAN BENDITO,3,11,1,0, 1,est_4_208,208.0,PAN BENDITO,N/A,40.37587,-3.7341699999999998,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
SAN FRANCISCO,4,11,1,0, 1,est_4_254,254.0,SAN FRANCISCO,N/A,40.3736,-3.7391,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
CARABANCHEL ALTO,5,11,1,0, 1,est_4_255,255.0,CARABANCHEL ALTO,N/A,40.372,-3.7519099999999996,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
LA PESETA,6,11,1,1, 1,est_4_256,256.0,LA PESETA,N/A,40.36422,-3.7569,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
